*Last Update 7/3/2024 7:47:06 PM CST
*STRONG
CORZ  , CORE SCIENTIFIC INC
ALAR  , ALARUM TECHNOLOGIES LTD
LBPH  , LONGBOARD PHARMACEUTICALS INC
FTAI  , FTAI AVIATION LTD
FNGU  , MICROSECTORS FANG+ INDEX -3X INVERSE LEV
SEZL  , SEZZLE INC
IREN  , IRIS ENERGY LTD
FIP   , FTAI INFRASTR LLC
LRHC  , LA ROSA HOLDINGS CORP
CAMT  , CAMTEK LTD
AEYE  , AUDIOEYE INC
FNGO  , MICROSECS FANG IDX 2X LEVERAGED ETN
CRBP  , CORBUS PHARMACEUTICALS HOLDINGS INC
CRDO  , CREDO TECHNOLOGY GROUP HOLDING LTD
ADMA  , ADMA BIOLOGICS INC
*WEAK
BENF  , BENEFICIENT
SBFM  , SUNSHINE BIOPHARMA INC
NUWE  , NUWELLIS INC
SINT  , SINTX TECHNOLOGIES INC
VLCN  , VOLCON INC
GWAV  , GREENWAVE TECHNOLOGY SOLUTIONS INC
EFTR  , EFFECTOR THERAPEUTICS INC
BRSHF , BRUUSH ORAL CARE INC
XTIA  , XTI AEROSPACE INC
SYTA  , SIYATA MOBILE INC
CNSP  , CNS PHARMACEUTICALS INC
WHLR  , WHEELER REAL ESTATE INVESTMENT TRUST INC
TNXP  , TONIX PHARMACEUTICALS HOLDING CORP
CRKN  , CROWN ELECTROKINETICS CORP.
ALLR  , ALLARITY THERAPEUTICS INC
