*Last Update 5/23/2024 7:46:49 PM CST
*STRONG
SWIN  , SOLOWIN HOLDINGS LTD
FTEL  , FITELL CORP
ALAR  , ALARUM TECHNOLOGIES LTD
CORZ  , CORE SCIENTIFIC INC
ASPI  , ASP ISOTOPES INC
MSTR  , MICROSTRATEGY INC
ADMA  , ADMA BIOLOGICS INC
POWL  , POWELL INDUSTRIES INC
CDLR  , CADELER A/S ADS
BLBD  , BLUE BIRD CORP
VITL  , VITAL FARMS INC
FIP   , FTAI INFRASTR LLC
THRD  , THIRD HARMONIC BIO INC
AEYE  , AUDIOEYE INC
NATL  , NCR ATLEOS CORP
*WEAK
XXII  , 22ND CENTURY GROUP INC
AUVI  , APPLIED UV INC
EDBL  , EDIBLE GARDEN AG INC
APVO  , APTEVO THERAPEUTICS INC
SBFM  , SUNSHINE BIOPHARMA INC
HSDT  , HELIUS MEDICAL TECHNOLOGIES INC
TIVC  , TIVIC HEALTH SYSTEMS INC
BENF  , BENEFICIENT
BSFC  , BLUE STAR FOODS CORP
MULN  , MULLEN AUTOMOTIVE INC
VLCN  , VOLCON INC
CZOOF , I don't know the name for this symbol.
XTIA  , INPIXON
WISA  , WISA TECHNOLOGIES INC
ALLR  , ALLARITY THERAPEUTICS INC
